1	21736588	23086883	15
1	49894177	51713726	32
1	108409665	110303931	67
1	111741737	113273306	69
1	216243634	218705513	112
1	218705513	219590571	113
1	219590571	221858231	114
2	18647423	19692404	144
2	24686918	26894985	148
2	53508452	54685226	168
2	54685226	56203345	169
3	99373762	100592217	340
4	4684116	5502388	405
4	37255047	38907022	430
4	62371763	64341001	443
5	11940	982252	522
5	4632110	5973233	526
5	63968304	65911286	561
5	122556905	123798100	596
6	5791472	6785207	637
6	6785207	7808936	638
6	33236497	35455756	659
6	83127149	85209989	688
6	116131396	117672972	708
6	132765669	134244243	719
6	142288479	145319810	725
7	69085364	71874885	789
7	73334602	76458564	791
8	24674718	25483454	867
8	25483454	26682525	868
9	107581749	109298754	989
9	133223217	134127888	1004
10	19716878	22772283	1026
10	48760450	50840915	1042
10	119523934	120591353	1083
11	30141357	32276901	1116
11	32276901	33958739	1117
11	65898631	68005825	1132
11	116383348	117747110	1165
12	65559695	67181144	1219
12	76511314	78570570	1226
12	130377921	131786751	1259
13	38878163	41069263	1276
13	80585676	82581814	1301
14	53997831	55233681	1346
15	67094767	69017999	1410
15	80860978	84260468	1417
16	77523678	78456292	1471
16	84445883	85148685	1478
17	55357541	57487512	1517
18	47730584	51062185	1558
20	44839056	47199980	1646
20	56447959	58406572	1651
21	26469122	27271019	1664
21	27271019	29125226	1665
22	44995308	46470495	1699
