1	9365199	10806984	7
1	27401867	30161881	19
1	115880593	118839067	72
1	148361253	151538881	75
1	154770403	156336133	78
1	165191702	166460517	83
1	216243634	218705513	112
2	24686918	26894985	148
2	43309590	44313803	160
2	73174848	75630086	181
2	89154526	95326452	189
2	95326452	98995201	190
2	118367466	121303783	202
2	175588929	177363636	239
2	222521176	224859419	264
2	233550003	235150987	270
3	68286914	69276762	323
3	168580960	170964909	381
3	195971408	197075987	398
4	2842979	3846040	403
4	74592390	77130707	450
4	97540703	99424067	464
4	143443265	146178187	493
5	33500180	35048970	544
5	38802410	40287729	547
5	53703044	55417349	553
5	67850860	71240456	563
5	71240456	73759326	564
5	77623332	79393144	567
5	169505664	171074292	623
6	6785207	7808936	638
6	29737971	30798168	655
6	42038721	43756169	664
6	45406563	47311898	666
6	125424383	127540461	715
6	158218719	160580497	734
7	1353067	2062398	746
7	100196651	101199253	805
9	3190064	4495328	940
9	74253040	76203946	969
9	109298754	110695062	990
9	132165470	133223217	1003
9	133223217	134127888	1004
9	135298842	137041122	1006
10	7171484	8774665	1018
10	75422550	78706814	1059
10	100668400	102949239	1074
10	102949239	104380410	1075
10	112561493	115328432	1080
10	123900545	125869346	1087
11	30141357	32276901	1116
11	63804569	65898631	1131
11	69516130	70926292	1134
11	84381272	86619301	1142
11	95726041	97057058	1150
11	111114397	112459488	1161
11	119215476	120766806	1167
11	128188537	130342575	1175
12	61107	1080331	1180
12	55665837	57548860	1214
12	72645075	73818454	1224
12	85990426	89682122	1232
12	89682122	92066155	1233
12	113986709	115036602	1248
12	122007651	124977980	1254
13	41069263	43101027	1277
13	71526791	73934089	1296
14	28466533	29972145	1329
15	50008043	51677560	1399
15	96141596	98030910	1425
16	65938566	68841363	1465
16	79134815	80297374	1473
16	87647349	89041165	1482
17	16412342	18856320	1498
17	34469036	36809344	1505
17	36809344	38877404	1506
17	38877404	39899810	1507
17	43056905	45876022	1510
17	59312755	61545589	1519
17	78837588	80034408	1529
17	80034408	81194908	1530
18	25927682	26875587	1545
19	36469295	37527033	1603
19	37527033	40170619	1604
21	35225465	36524373	1670
22	22357325	23712647	1684
