1	54226262	56413117	34
1	63455089	65041704	40
1	106087842	108409665	66
1	108409665	110303931	67
2	19692404	21050490	145
2	21050490	23341383	146
2	43309590	44313803	160
3	141339097	143164628	364
5	73759326	75798866	565
6	97842284	100630146	698
6	158218719	160580497	734
6	160580497	162169564	735
8	9154694	9640787	854
8	124861459	125683719	923
9	132165470	133223217	1003
9	133223217	134127888	1004
11	58780549	62223771	1129
11	126311320	127316679	1173
16	71054028	72935150	1467
17	5741334	7317398	1489
17	67858770	69387817	1523
19	9238393	11284028	1587
19	18409862	19877471	1593
19	43862455	44744108	1608
19	44744108	46102697	1609
