1	108409665	110303931	67
1	182755356	184595513	93
1	203334734	204681068	105
1	221858231	222230220	115
1	242071602	244109499	130
2	198078110	199311125	250
3	16282442	17891118	289
3	40221298	41064528	306
3	112815699	113947863	347
3	173477285	175116539	384
4	68059497	68854765	446
4	91560677	94233299	461
4	118479918	119933512	475
5	38802410	40287729	547
5	108633934	110821144	586
5	134777401	136376050	602
6	55468270	56105313	672
6	162931203	164383521	737
7	45952922	46986720	777
7	46986720	49212278	778
8	116096495	119685457	920
8	126410917	128659111	925
10	7171484	8774665	1018
10	78706814	80876749	1060
10	132580245	134336329	1093
11	58780549	62223771	1129
11	74412351	76797209	1137
11	111114397	112459488	1161
12	3677037	4417679	1183
12	113986709	115036602	1248
14	53474383	53997831	1345
15	32441811	34015425	1388
17	56	1172399	1484
17	7317398	8306425	1490
17	64800430	67858770	1522
18	47730584	51062185	1558
18	61820252	63463402	1566
20	5477850	7084073	1622
20	7084073	8117011	1623
20	47199980	49239658	1647
20	62190180	62965163	1655
