1	43758457	44969183	27
1	113273306	114873845	70
2	67226166	68010176	177
2	191973357	195861164	247
2	198078110	199311125	250
2	202818637	205799241	253
2	220454551	222521176	263
3	23804865	25461558	295
3	30717955	32351715	300
3	77508835	79024541	329
4	150683580	152782184	496
4	172558635	174264132	511
5	27984513	29714820	541
5	136376050	139265072	603
5	169505664	171074292	623
6	2458936	3573593	634
6	30798168	31571218	656
6	33236497	35455756	659
6	65765742	67329215	677
6	91843196	93428644	693
7	1353067	2062398	746
8	32977218	35317232	874
9	76973081	78900183	971
9	92528698	94167203	982
9	124871322	126971887	999
11	12564229	13373124	1105
11	32276901	33958739	1117
12	76511314	78570570	1226
12	78570570	80448150	1227
12	110336719	113263518	1246
15	40384132	41177514	1393
15	90475551	92164392	1421
16	5891580	6893551	1435
16	53382572	55903774	1458
16	72935150	74971503	1468
17	3702312	4696261	1487
19	11284028	13471127	1588
19	16374416	18409862	1592
19	18409862	19877471	1593
19	44744108	46102697	1609
22	39307894	40545797	1695
