1	54226262	56413117	34
1	56413117	57021728	35
1	90066303	91886317	55
1	91886317	93536459	56
1	108409665	110303931	67
1	177433381	178944309	89
1	196176201	197311514	100
1	201589975	203334734	104
1	234599434	235819436	123
2	10133	1781022	134
2	8422147	10298469	139
2	19692404	21050490	145
2	21050490	23341383	146
2	26894985	28598777	149
2	43309590	44313803	160
2	62429044	64625913	174
2	85140680	88038507	187
2	116772470	118367466	201
2	118367466	121303783	202
2	133042784	135158578	212
2	135158578	137042794	213
2	157560635	158533218	227
2	201576284	202818637	252
2	202818637	205799241	253
2	214014282	215573795	259
2	222521176	224859419	264
2	225840004	228119842	266
2	233550003	235150987	270
3	11019665	13070799	286
3	32351715	33255592	301
3	70449028	72529329	325
3	128194861	130244735	357
3	131836516	133252173	359
3	185068255	186890344	391
3	195971408	197075987	398
4	5502388	6773043	406
4	74592390	77130707	450
4	100678360	103221356	466
4	155056126	157485097	499
4	167852917	169676825	508
5	52134622	53703044	552
5	55417349	56621102	554
5	73759326	75798866	565
5	75798866	77623332	566
5	129519025	132139649	600
5	132139649	134777401	601
5	147181998	148662624	608
5	156628700	158825698	614
6	19207487	21684065	646
6	24852275	25684587	650
6	25684587	26791233	651
6	30798168	31571218	656
6	31571218	32682664	657
6	32682664	33236497	658
6	33236497	35455756	659
6	50386145	52210476	669
6	77414881	78957728	684
6	78957728	80691170	685
6	134244243	136224177	720
6	150253404	151912703	729
6	158218719	160580497	734
6	160580497	162169564	735
7	16902069	19481547	760
7	20124908	22507629	762
7	25077259	25909555	765
7	25909555	28360309	766
7	43159074	44763828	775
7	73334602	76458564	791
7	76458564	78093859	792
7	100196651	101199253	805
7	149840658	150711505	836
8	9154694	9640787	854
8	19492840	20060856	863
8	20060856	21661737	864
8	56956383	59068651	886
8	124861459	125683719	923
8	140725643	143044914	934
8	143044914	144236881	935
9	20463534	22206559	952
9	132165470	133223217	1003
9	133223217	134127888	1004
9	135298842	137041122	1006
10	16551767	18537267	1024
10	43894771	44730075	1040
10	62659679	63341695	1051
10	63341695	65794114	1052
10	89127064	91013381	1066
10	91013381	92006581	1067
10	92006581	93335047	1068
10	97822357	100241302	1072
10	110317705	112561493	1079
10	112561493	115328432	1080
10	122407323	123231465	1085
11	1213590	3665481	1097
11	47006137	49866050	1124
11	58780549	62223771	1129
11	63804569	65898631	1131
11	116383348	117747110	1165
11	117747110	119215476	1166
11	124495528	126311320	1172
11	126311320	127316679	1173
12	18087873	20863943	1194
12	20863943	23820634	1195
12	94514567	96020785	1235
12	101862690	102964986	1240
12	106958748	109025901	1244
12	110336719	113263518	1246
12	119754110	122007651	1253
12	122007651	124977980	1254
13	32301815	33776903	1271
13	78808813	80585676	1300
14	67992317	71131957	1355
14	93132299	94325285	1370
15	63215222	65104668	1408
15	73628714	76398624	1414
15	100636847	101552694	1428
16	53382572	55903774	1458
16	55903774	57664330	1459
16	71054028	72935150	1467
16	83477208	84445883	1477
17	5741334	7317398	1489
17	7317398	8306425	1490
17	16412342	18856320	1498
17	27334244	29786491	1501
17	29786491	31538425	1502
17	43056905	45876022	1510
17	45876022	47517400	1511
17	47517400	49898957	1512
17	64800430	67858770	1522
17	67858770	69387817	1523
17	77298636	78837588	1528
18	8498931	11075913	1537
18	47730584	51062185	1558
19	9238393	11284028	1587
19	11284028	13471127	1588
19	18409862	19877471	1593
19	19877471	20905757	1594
19	32746520	34262952	1601
19	42131573	43862455	1607
19	43862455	44744108	1608
19	44744108	46102697	1609
19	47150082	49282227	1611
19	57521335	59118839	1617
20	12447499	13689864	1627
20	17487232	18972203	1630
20	34960446	36909530	1639
20	39610856	40585689	1642
20	40585689	41615460	1643
22	29651799	31439918	1689
22	44995308	46470495	1699
